%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1598621623164180288,4131,1598621623163744522,xsense,-0.658721662235,0.113174901559,-0.720905887741,-0.183226401972,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014351293786,0.00171350876887,0.00454259396912,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76436003134,0.76652299478,1.02355499935,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623164582631,4132,1598621623164359734,xsense,-0.658703859317,0.113168545893,-0.720922166045,-0.183230282561,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015830433101,0.00608830422827,-0.000227492595634,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78759303459,0.768105299881,1.04938161224,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623165633330,4133,1598621623165284365,xsense,-0.658687181308,0.113157116749,-0.720936841305,-0.183239556203,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00161835331797,0.00602175162212,-0.00175156008422,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76200909074,0.770695495839,1.07309326475,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623166387772,4134,1598621623165998031,xsense,-0.658694055747,0.113169545413,-0.720929007142,-0.183237991626,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.93881787199e-05,-0.00145824110368,0.00159004889107,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73715127896,0.746742281183,1.07425448066,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623203769222,4135,1598621623203492177,xsense,-0.658700580279,0.113159402163,-0.720924665925,-0.183237881733,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00308903257199,-8.84306947302e-05,-0.00145122272293,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78750594799,0.768244260554,1.0500918905,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623204904448,4136,1598621623204539754,xsense,-0.658702007604,0.113170165366,-0.720921802422,-0.183237369664,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5336031318e-05,6.65924770756e-05,0.00152406677155,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76267362437,0.7442872662,1.05102453375,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623205282387,4137,1598621623205029081,xsense,-0.658703086065,0.113158357078,-0.720922430562,-0.183238314074,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310308691717,0.00143635640635,-0.00151722571741,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76469314536,0.790811557001,1.02257190573,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623206140025,4138,1598621623205706731,xsense,-0.658695891486,0.11315561816,-0.720926314003,-0.183250589076,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34323355081e-05,0.00298300197773,-0.00165612099646,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76194922473,0.770922176933,1.07347496433,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623244233649,4139,1598621623243849679,xsense,-0.658690388825,0.113147230726,-0.720933507217,-0.183247248329,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00308176224233,0.00302780915293,-5.91421252757e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73752661068,0.771371283328,1.07259070012,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1598621623244680440,4140,1598621623244422661,xsense,-0.658693232742,0.113152620712,-0.720931506001,-0.183241570669,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149145542504,5.57358247857e-05,0.00156054352933,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76234824702,0.795292528603,1.07177794155,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
